JAICHAND LAL DAGA,,,,,,,
Bills Receivable,,,,,,,
Account Group : Morbi Party,On Basis of : Due Date,,,,,,
From 1-4-2017 to 9-9-2025,Bills Status as on : 9-9-2025,,,,,,
Account,Dated,Type,Ref. No.,Ref. Amt.,Due Amt.,Due Date,Due Days
,17-06-2025,SupO,2443,"18,832.00","18,832.00",17-06-2025,84
,19-06-2025,SupO,2485,"18,743.00","18,743.00",19-06-2025,82
,21-06-2025,SupO,2547,"19,055.00","19,055.00",21-06-2025,80
,23-06-2025,SupO,2603,"18,609.00","18,609.00",23-06-2025,78
,24-06-2025,SupO,2622,"18,609.00","18,609.00",24-06-2025,77
,24-06-2025,SupO,2650,"18,653.00","18,653.00",24-06-2025,77
,28-06-2025,SupO,2738,"18,609.00","18,609.00",28-06-2025,73
,29-06-2025,SupO,2750,"19,189.00","19,189.00",29-06-2025,72
,08-07-2025,SupO,3113,"18,609.00","18,609.00",08-07-2025,63
,09-07-2025,SupO,3129,"18,609.00","18,609.00",09-07-2025,62
,,,Total,"6,34,345.00","6,27,750.00",,
,,,,,,,
ASCENT CERAMICA PVT.LTD.,27-12-2020,OpBl,3074,"3,776.00","3,776.00",27-12-2020,1717
,,,"Org. Amt. 14,383.00",,,,
,27-12-2020,OpBl,3076,"17,788.00","17,788.00",27-12-2020,1717
,28-12-2020,OpBl,3083,"14,654.00","14,654.00",28-12-2020,1716
,28-12-2020,OpBl,3087,"17,878.00","17,878.00",28-12-2020,1716
,28-12-2020,OpBl,3088,"14,688.00","14,688.00",28-12-2020,1716
,28-12-2020,OpBl,3089,"14,590.00","14,590.00",28-12-2020,1716
,30-12-2020,OpBl,3123,"15,158.00","15,158.00",30-12-2020,1714
,06-01-2021,OpBl,3256,"15,197.00","15,197.00",06-01-2021,1707
,06-01-2021,OpBl,3259,"15,365.00","15,365.00",06-01-2021,1707
,08-01-2021,OpBl,3290,"14,645.00","14,645.00",08-01-2021,1705
,08-01-2021,OpBl,3304,"14,430.00","14,430.00",08-01-2021,1705
,08-01-2021,OpBl,3305,"14,379.00","14,379.00",08-01-2021,1705
,09-01-2021,OpBl,3324,"17,991.00","17,991.00",09-01-2021,1704
,09-01-2021,OpBl,3325,"15,279.00","15,279.00",09-01-2021,1704
,12-01-2021,OpBl,3375,"15,084.00","15,084.00",12-01-2021,1701
,12-01-2021,OpBl,3376,"15,356.00","15,356.00",12-01-2021,1701
,13-01-2021,OpBl,3380,"18,128.00","18,128.00",13-01-2021,1700
,13-01-2021,OpBl,3390,"18,111.00","18,111.00",13-01-2021,1700
,04-02-2021,OpBl,3756,"18,085.00","18,085.00",04-02-2021,1678
,05-02-2021,OpBl,3765,"14,891.00","14,891.00",05-02-2021,1677
,05-02-2021,OpBl,3769,"17,753.00","17,753.00",05-02-2021,1677
,06-02-2021,OpBl,3781,"14,697.00","14,697.00",06-02-2021,1676
,06-02-2021,OpBl,3782,"15,102.00","15,102.00",06-02-2021,1676
,11-02-2021,OpBl,3854,"14,926.00","14,926.00",11-02-2021,1671
,11-02-2021,OpBl,3855,"15,041.00","15,041.00",11-02-2021,1671
,11-02-2021,OpBl,3861,"15,041.00","15,041.00",11-02-2021,1671
,12-02-2021,OpBl,3866,"14,352.00","14,352.00",12-02-2021,1670
,12-02-2021,OpBl,3878,"15,266.00","15,266.00",12-02-2021,1670
,13-02-2021,OpBl,3882,"17,909.00","17,909.00",13-02-2021,1669
,13-02-2021,OpBl,3883,"17,753.00","17,753.00",13-02-2021,1669
,14-02-2021,OpBl,3899,"17,753.00","17,753.00",14-02-2021,1668
,15-02-2021,OpBl,3906,"18,378.00","18,378.00",15-02-2021,1667
,16-02-2021,OpBl,3915,"15,012.00","15,012.00",16-02-2021,1666
,16-02-2021,OpBl,3916,"14,693.00","14,693.00",16-02-2021,1666
,17-02-2021,OpBl,3935,"14,667.00","14,667.00",17-02-2021,1665
,20-02-2021,OpBl,4002,"15,338.00","15,338.00",20-02-2021,1662
,22-02-2021,OpBl,4038,"13,104.00","13,104.00",22-02-2021,1660
,22-02-2021,OpBl,4039,"15,244.00","15,244.00",22-02-2021,1660
,23-02-2021,OpBl,4042,"14,801.00","14,801.00",23-02-2021,1659
,20-03-2021,OpBl,4454,"14,912.00","14,912.00",20-03-2021,1634
,23-03-2021,OpBl,38219,"2,00,000.00","2,00,000.00",23-03-2021,1631
,24-03-2021,OpBl,4521,"18,150.00","18,150.00",24-03-2021,1630
,24-03-2021,OpBl,4522,"15,041.00","15,041.00",24-03-2021,1630
,25-03-2021,OpBl,4546,"18,081.00","18,081.00",25-03-2021,1629
,25-04-2021,OpBl,404,"15,111.00","15,111.00",25-04-2021,1598
,25-04-2021,OpBl,408,"17,694.00","17,694.00",25-04-2021,1598
,28-04-2021,OpBl,474,"17,810.00","17,810.00",28-04-2021,1595
,28-04-2021,OpBl,487,"14,749.00","14,749.00",28-04-2021,1595
,29-04-2021,OpBl,490,"14,938.00","14,938.00",29-04-2021,1594
,01-05-2021,OpBl,532,"17,806.00","17,806.00",01-05-2021,1592
,03-05-2021,OpBl,575,"18,524.00","18,524.00",03-05-2021,1590
,04-05-2021,OpBl,595,"15,055.00","15,055.00",04-05-2021,1589
,25-05-2021,OpBl,882,"15,123.00","15,123.00",25-05-2021,1568
,26-05-2021,OpBl,905,"18,085.00","18,085.00",26-05-2021,1567
,29-05-2021,OpBl,954,"18,352.00","18,352.00",29-05-2021,1564
,30-05-2021,OpBl,970,"15,227.00","15,227.00",30-05-2021,1563
,31-05-2021,OpBl,980,"18,077.00","18,077.00",31-05-2021,1562
,03-06-2021,OpBl,1030,"15,287.00","15,287.00",03-06-2021,1559
,06-06-2021,OpBl,1061,"15,391.00","15,391.00",06-06-2021,1556
,06-06-2021,OpBl,1062,"18,124.00","18,124.00",06-06-2021,1556
,06-06-2021,OpBl,1066,"18,507.00","18,507.00",06-06-2021,1556
,,,Total,"11,52,347.00","11,52,347.00",,
,,,,,,,
CAPRON VITRIFIED PVT. LTD.,01-04-2025,SupO,12,"31,857.00","31,855.00",01-04-2025,161
,02-04-2025,SupO,53,"32,789.00","32,789.00",02-04-2025,160
,03-04-2025,SupO,106,"32,246.00","32,246.00",03-04-2025,159
,04-04-2025,SupO,121,"33,100.00","33,100.00",04-04-2025,158
,05-04-2025,SupO,160,"32,323.00","32,323.00",05-04-2025,157
,09-04-2025,SupO,255,"32,556.00","32,556.00",09-04-2025,153
,09-04-2025,SupO,262,"31,419.00","31,419.00",09-04-2025,153
,10-04-2025,SupO,304,"26,729.00","26,729.00",10-04-2025,152
,13-04-2025,SupO,368,"27,195.00","27,195.00",13-04-2025,149
,14-04-2025,SupO,395,"32,456.00","32,456.00",14-04-2025,148
,15-04-2025,SupO,428,"32,401.00","32,401.00",15-04-2025,147
,15-04-2025,SupO,440,"31,157.00","31,157.00",15-04-2025,147
,16-04-2025,SupO,445,"32,184.00","32,184.00",16-04-2025,146
,17-04-2025,SupO,477,"32,789.00","32,789.00",17-04-2025,145
,17-04-2025,SupO,485,"32,634.00","32,634.00",17-04-2025,145
,17-04-2025,SupO,503,"32,789.00","32,789.00",17-04-2025,145
,19-04-2025,SupO,578,"31,381.00","31,381.00",19-04-2025,143
,26-04-2025,SupO,812,"32,401.00","32,401.00",26-04-2025,136
,26-04-2025,SupO,824,"27,584.00","27,584.00",26-04-2025,136
,27-04-2025,SupO,838,"33,100.00","33,100.00",27-04-2025,135
,28-04-2025,SupO,887,"32,860.00","32,860.00",28-04-2025,134
,29-04-2025,SupO,900,"27,211.00","27,211.00",29-04-2025,133
,29-04-2025,SupO,908,"31,469.00","31,469.00",29-04-2025,133
,03-05-2025,SupO,1056,"32,712.00","32,712.00",03-05-2025,129
,10-06-2025,SupO,2251,"32,789.00","32,789.00",10-06-2025,91
,11-06-2025,SupO,2269,"26,807.00","26,807.00",11-06-2025,90
,12-06-2025,SupO,2305,"32,401.00","32,401.00",12-06-2025,89
,15-06-2025,SupO,2393,"32,401.00","32,401.00",15-06-2025,86
,16-06-2025,SupO,2440,"32,401.00","32,401.00",16-06-2025,85
,17-06-2025,SupO,2454,"26,807.00","26,807.00",17-06-2025,84
,19-06-2025,SupO,2488,"32,401.00","32,401.00",19-06-2025,82
,30-06-2025,SupO,2787,"32,401.00","32,401.00",30-06-2025,71
,30-06-2025,SupO,2801,"26,418.00","26,418.00",30-06-2025,71
,01-07-2025,SupO,2807,"32,369.00","32,369.00",01-07-2025,70
,01-07-2025,SupO,2831,"26,620.00","26,620.00",01-07-2025,70
,02-07-2025,SupO,2860,"33,178.00","33,178.00",02-07-2025,69
,03-07-2025,SupO,2920,"31,857.00","31,857.00",03-07-2025,68
,04-07-2025,SupO,2949,"32,556.00","32,556.00",04-07-2025,67
,06-07-2025,SupO,3032,"26,807.00","26,807.00",06-07-2025,65
,,,Total,"12,13,555.00","12,13,553.00",,
,,,,,,,
COMMANDER VITRIFIED PVT.LTD.,30-06-2025,SupO,2788,"35,028.00","35,028.00",30-06-2025,71
,30-06-2025,SupO,2795,"27,563.00","27,563.00",30-06-2025,71
,02-07-2025,SupO,2856,"34,776.00","34,776.00",02-07-2025,69
,02-07-2025,SupO,2884,"34,860.00","34,860.00",02-07-2025,69
,03-07-2025,SupO,2921,"35,532.00","35,532.00",03-07-2025,68
,,,Total,"1,67,759.00","1,67,759.00",,
,,,,,,,
CORUS VITRIFIED PVT LTD,18-01-2024,OpBl,4490,"30,045.00","30,045.00",18-01-2024,600
,,,"Org. Amt. 32,524.00",,,,
,18-01-2024,OpBl,4506,"38,680.00","38,680.00",18-01-2024,600
,19-01-2024,OpBl,4513,"32,708.00","32,708.00",19-01-2024,599
,20-01-2024,OpBl,4530,"38,771.00","38,771.00",20-01-2024,598
,20-01-2024,OpBl,4540,"38,220.00","38,220.00",20-01-2024,598
,22-01-2024,OpBl,4555 (2023-24),"38,864.00","38,864.00",22-01-2024,596
,23-01-2024,OpBl,4564,"32,156.00","32,156.00",23-01-2024,595
,24-01-2024,OpBl,4580 (2023-24),"39,690.00","39,690.00",24-01-2024,594
,26-01-2024,OpBl,4629,"30,962.00","30,962.00",26-01-2024,592
,28-01-2024,OpBl,4660,"38,312.00","38,312.00",28-01-2024,590
,29-01-2024,OpBl,4686,"38,588.00","38,588.00",29-01-2024,589
,30-01-2024,OpBl,4704,"38,312.00","38,312.00",30-01-2024,588
,13-02-2024,OpBl,4919,"38,129.00","38,129.00",13-02-2024,574
,16-02-2024,OpBl,4978,"38,129.00","38,129.00",16-02-2024,571
,16-02-2024,OpBl,4993,"38,771.00","38,771.00",16-02-2024,571
,17-02-2024,OpBl,5006,"38,588.00","38,588.00",17-02-2024,570
,18-02-2024,OpBl,5021,"32,800.00","32,800.00",18-02-2024,569
,18-02-2024,OpBl,5023,"31,605.00","31,605.00",18-02-2024,569
,20-02-2024,OpBl,5056,"38,588.00","38,588.00",20-02-2024,567
,20-02-2024,OpBl,5057,"37,210.00","37,210.00",20-02-2024,567
,21-02-2024,OpBl,5090,"39,442.00","39,442.00",21-02-2024,566
,22-02-2024,OpBl,5110,"38,312.00","38,312.00",22-02-2024,565
,25-02-2024,OpBl,5166,"38,771.00","38,771.00",25-02-2024,562
,26-02-2024,OpBl,5190,"30,686.00","30,686.00",26-02-2024,561
,26-02-2024,OpBl,5191,"31,514.00","31,514.00",26-02-2024,561
,28-02-2024,OpBl,5223,"38,864.00","38,864.00",28-02-2024,559
,28-02-2024,OpBl,5228,"38,312.00","38,312.00",28-02-2024,559
,29-02-2024,OpBl,5245,"39,506.00","39,506.00",29-02-2024,558
,01-03-2024,OpBl,5262,"39,350.00","39,350.00",01-03-2024,557
,02-03-2024,OpBl,5277,"39,047.00","39,047.00",02-03-2024,556
,02-03-2024,OpBl,5284,"38,312.00","38,312.00",02-03-2024,556
,03-03-2024,OpBl,5319,"32,800.00","32,800.00",03-03-2024,555
,04-03-2024,OpBl,5327,"38,771.00","38,771.00",04-03-2024,554
,05-03-2024,OpBl,5360,"38,771.00","38,771.00",05-03-2024,553
,06-03-2024,OpBl,5378,"38,450.00","38,450.00",06-03-2024,552
,06-03-2024,OpBl,5379,"39,369.00","39,369.00",06-03-2024,552
,07-03-2024,OpBl,5401,"39,231.00","39,231.00",07-03-2024,551
,07-03-2024,OpBl,5402,"32,432.00","32,432.00",07-03-2024,551
,08-03-2024,OpBl,5412,"38,771.00","38,771.00",08-03-2024,550
,08-03-2024,OpBl,5413,"39,102.00","39,102.00",08-03-2024,550
,10-03-2024,OpBl,5455,"38,588.00","38,588.00",10-03-2024,548
,11-03-2024,OpBl,5478,"39,231.00","39,231.00",11-03-2024,547
,12-03-2024,OpBl,5501,"38,312.00","38,312.00",12-03-2024,546
,13-03-2024,OpBl,5507,"38,450.00","38,450.00",13-03-2024,545
,13-03-2024,OpBl,5518,"32,800.00","32,800.00",13-03-2024,545
,14-03-2024,OpBl,5540,"38,588.00","38,588.00",14-03-2024,544
,15-03-2024,OpBl,5544,"38,955.00","38,955.00",15-03-2024,543
,15-03-2024,OpBl,5545,"31,330.00","31,330.00",15-03-2024,543
,16-03-2024,OpBl,5570,"38,450.00","38,450.00",16-03-2024,542
,18-03-2024,OpBl,5631,"38,312.00","38,312.00",18-03-2024,540
,19-03-2024,OpBl,5645,"38,312.00","38,312.00",19-03-2024,539
,27-03-2024,OpBl,5717,"38,129.00","38,129.00",27-03-2024,531
,27-03-2024,OpBl,5729,"32,065.00","32,065.00",27-03-2024,531
,28-03-2024,OpBl,5756,"39,690.00","39,690.00",28-03-2024,530
,28-03-2024,OpBl,5773,"38,312.00","38,312.00",28-03-2024,530
,29-03-2024,OpBl,5783,"38,073.00","38,073.00",29-03-2024,529
,02-04-2024,OpBl,38,"38,312.00","38,312.00",02-04-2024,525
,23-09-2024,OpBl,3108,"38,220.00","38,220.00",23-09-2024,351
,27-09-2024,OpBl,3177,"31,697.00","31,697.00",27-09-2024,347
,29-09-2024,OpBl,3236,"38,771.00","38,771.00",29-09-2024,345
,29-09-2024,OpBl,3238,"39,644.00","39,644.00",29-09-2024,345
,30-09-2024,OpBl,3282,"37,917.00","37,917.00",30-09-2024,344
,04-10-2024,OpBl,3375,"38,496.00","38,496.00",04-10-2024,340
,05-10-2024,OpBl,3410,"38,771.00","38,771.00",05-10-2024,339
,06-10-2024,OpBl,3420,"38,450.00","38,450.00",06-10-2024,338
,07-10-2024,OpBl,3475,"38,312.00","38,312.00",07-10-2024,337
,08-10-2024,OpBl,3482,"38,312.00","38,312.00",08-10-2024,336
,10-10-2024,OpBl,3552,"38,771.00","38,771.00",10-10-2024,334
,12-10-2024,OpBl,3615,"38,771.00","38,771.00",12-10-2024,332
,13-10-2024,OpBl,3635,"37,917.00","37,917.00",13-10-2024,331
,13-10-2024,OpBl,3653,"31,274.00","31,274.00",13-10-2024,331
,16-10-2024,OpBl,3735,"38,220.00","38,220.00",16-10-2024,328
,17-10-2024,OpBl,3764,"38,312.00","38,312.00",17-10-2024,327
,18-10-2024,OpBl,3788,"38,129.00","38,129.00",18-10-2024,326
,18-10-2024,OpBl,3797,"38,735.00","38,735.00",18-10-2024,326
,18-10-2024,OpBl,3802,"38,634.00","38,634.00",18-10-2024,326
,20-10-2024,OpBl,3848,"39,599.00","39,599.00",20-10-2024,324
,21-10-2024,OpBl,3911,"38,312.00","38,312.00",21-10-2024,323
,22-10-2024,OpBl,3919,"38,588.00","38,588.00",22-10-2024,322
,24-10-2024,OpBl,3976,"38,450.00","38,450.00",24-10-2024,320
,25-10-2024,OpBl,3993,"38,312.00","38,312.00",25-10-2024,319
,27-10-2024,OpBl,4020,"38,588.00","38,588.00",27-10-2024,317
,27-10-2024,OpBl,4021,"39,295.00","39,295.00",27-10-2024,317
,03-11-2024,OpBl,4052,"38,974.00","38,974.00",03-11-2024,310
,03-11-2024,OpBl,4056,"38,312.00","38,312.00",03-11-2024,310
,03-11-2024,OpBl,4061,"38,312.00","38,312.00",03-11-2024,310
,03-11-2024,OpBl,4084,"38,496.00","38,496.00",03-11-2024,310
,04-11-2024,OpBl,4088,"32,249.00","32,249.00",04-11-2024,309
,05-11-2024,OpBl,4156,"38,312.00","38,312.00",05-11-2024,308
,07-11-2024,OpBl,4222,"31,908.00","31,908.00",07-11-2024,306
,07-11-2024,OpBl,4224,"38,588.00","38,588.00",07-11-2024,306
,07-11-2024,OpBl,4223 (2024-25),"39,506.00","39,506.00",07-11-2024,306
,09-11-2024,OpBl,4247,"38,771.00","38,771.00",09-11-2024,304
,10-11-2024,OpBl,4260,"38,312.00","38,312.00",10-11-2024,303
,12-11-2024,OpBl,4299,"38,220.00","38,220.00",12-11-2024,301
,13-11-2024,OpBl,4309,"38,312.00","38,312.00",13-11-2024,300
,13-11-2024,OpBl,4326,"38,312.00","38,312.00",13-11-2024,300
,14-11-2024,OpBl,4341,"38,312.00","38,312.00",14-11-2024,299
,15-11-2024,OpBl,4356,"32,800.00","32,800.00",15-11-2024,298
,16-11-2024,OpBl,4377,"38,588.00","38,588.00",16-11-2024,297
,17-11-2024,OpBl,4401,"38,358.00","38,358.00",17-11-2024,296
,19-11-2024,OpBl,4441,"38,073.00","38,073.00",19-11-2024,294
,20-11-2024,OpBl,4468,"31,881.00","31,881.00",20-11-2024,293
,21-11-2024,OpBl,4490 (2024-25),"38,312.00","38,312.00",21-11-2024,292
,22-11-2024,OpBl,4511,"38,312.00","38,312.00",22-11-2024,291
,24-11-2024,OpBl,4543,"38,864.00","38,864.00",24-11-2024,289
,25-11-2024,OpBl,4561,"38,312.00","38,312.00",25-11-2024,288
,27-11-2024,OpBl,4607,"39,075.00","39,075.00",27-11-2024,286
,28-11-2024,OpBl,4631,"39,690.00","39,690.00",28-11-2024,285
,30-11-2024,OpBl,4695,"38,312.00","38,312.00",30-11-2024,283
,01-12-2024,OpBl,4725,"38,771.00","38,771.00",01-12-2024,282
,02-12-2024,OpBl,4755,"38,220.00","38,220.00",02-12-2024,281
